date,day_of_week,month,is_weekend,is_holiday,public_holiday_name,university_calendar_status,is_school_in_session,weather,temperature_C,promotion,foot_traffic_index,student_density_index,daily_sales_NGN,transactions_count,avg_order_value_NGN,ramadan,lent
2021-02-07,Sunday,2,True,False,,In Session,True,Cloudy,31.6,False,90,96,113148,76,1488.79,False,False
2021-02-08,Monday,2,False,False,,In Session,True,Sunny,30.6,False,53,93,91225,60,1520.42,False,False
2021-02-09,Tuesday,2,False,False,,In Session,True,Sunny,29.1,False,65,70,109104,81,1346.96,False,False
2021-02-10,Wednesday,2,False,False,,In Session,True,Sunny,31.6,False,73,84,101051,64,1578.92,False,False
2021-02-11,Thursday,2,False,False,,In Session,True,Rainy,30.4,False,56,90,105263,83,1268.23,False,False
2021-02-12,Friday,2,False,False,,In Session,True,Rainy,31.7,False,58,73,81733,53,1542.13,False,False
2021-02-13,Saturday,2,True,False,,In Session,True,Cloudy,30.3,True,85,69,140523,96,1463.78,False,False
2021-02-14,Sunday,2,True,False,,In Session,True,Sunny,31.5,False,72,80,111624,67,1666.03,False,False
2021-02-15,Monday,2,False,False,,In Session,True,Rainy,31.9,False,59,87,94338,62,1521.58,False,False
2021-02-16,Tuesday,2,False,False,,In Session,True,Cloudy,33.3,False,71,70,97702,59,1655.97,False,False
2021-02-17,Wednesday,2,False,False,,In Session,True,Sunny,30.5,True,78,78,119020,72,1653.06,False,True
2021-02-18,Thursday,2,False,False,,In Session,True,Sunny,28.3,False,73,70,101418,61,1662.59,False,True
2021-02-19,Friday,2,False,False,,In Session,True,Sunny,31.9,False,62,75,99357,64,1552.45,False,True
2021-02-20,Saturday,2,True,False,,In Session,True,Sunny,31.9,False,83,88,113441,76,1492.64,False,True
2021-02-21,Sunday,2,True,False,,In Session,True,Sunny,31.3,False,58,60,90814,59,1539.22,False,True
2021-02-22,Monday,2,False,False,,In Session,True,Cloudy,27.9,False,71,90,89893,58,1549.88,False,True
2021-02-23,Tuesday,2,False,False,,In Session,True,Sunny,30.6,False,63,78,97388,54,1803.48,False,True
2021-02-24,Wednesday,2,False,False,,In Session,True,Rainy,28.8,False,54,66,77568,49,1583.02,False,True
2021-02-25,Thursday,2,False,False,,In Session,True,Rainy,29.8,False,71,89,105970,73,1451.64,False,True
2021-02-26,Friday,2,False,False,,In Session,True,Sunny,30.8,False,66,84,92013,74,1243.42,False,True
2021-02-27,Saturday,2,True,False,,In Session,True,Sunny,30.2,True,100,78,156067,106,1472.33,False,True
2021-02-28,Sunday,2,True,False,,In Session,True,Cloudy,32.1,False,87,89,112628,86,1309.63,False,True
2021-03-01,Monday,3,False,False,,In Session,True,Rainy,35.0,False,65,73,75834,51,1486.94,False,True
2021-03-02,Tuesday,3,False,False,,In Session,True,Sunny,33.4,False,69,78,100358,67,1497.88,False,True
2021-03-03,Wednesday,3,False,False,,In Session,True,Sunny,33.9,False,71,76,105954,76,1394.13,False,True
2021-03-04,Thursday,3,False,False,,In Session,True,Sunny,31.8,False,76,71,101791,58,1755.02,False,True
2021-03-05,Friday,3,False,False,,In Session,True,Sunny,33.1,False,72,72,104530,59,1771.69,False,True
2021-03-06,Saturday,3,True,False,,In Session,True,Cloudy,32.3,True,87,71,116511,84,1387.04,False,True
2021-03-07,Sunday,3,True,False,,In Session,True,Rainy,29.9,False,73,90,120464,89,1353.53,False,True
2021-03-08,Monday,3,False,False,,In Session,True,Cloudy,33.0,False,70,82,98419,78,1261.78,False,True
2021-03-09,Tuesday,3,False,False,,In Session,True,Sunny,32.9,False,62,78,92807,66,1406.17,False,True
2021-03-10,Wednesday,3,False,False,,In Session,True,Cloudy,36.1,False,58,71,84329,54,1561.65,False,True
2021-03-11,Thursday,3,False,False,,In Session,True,Sunny,31.4,False,77,94,102861,64,1607.2,False,True
2021-03-12,Friday,3,False,False,,In Session,True,Cloudy,34.3,False,57,68,84637,55,1538.85,False,True
2021-03-13,Saturday,3,True,False,,In Session,True,Sunny,29.5,False,81,91,128723,80,1609.04,False,True
2021-03-14,Sunday,3,True,False,,In Session,True,Sunny,31.5,False,64,75,110133,76,1449.12,False,True
2021-03-15,Monday,3,False,False,,In Session,True,Sunny,30.9,False,56,68,103312,61,1693.64,False,True
2021-03-16,Tuesday,3,False,False,,In Session,True,Cloudy,31.7,False,74,74,102144,73,1399.23,False,True
2021-03-17,Wednesday,3,False,False,,In Session,True,Sunny,32.7,False,85,84,97119,59,1646.08,False,True
2021-03-18,Thursday,3,False,False,,In Session,True,Sunny,32.3,False,59,68,85969,55,1563.07,False,True
2021-03-19,Friday,3,False,False,,In Session,True,Sunny,31.8,False,59,72,89260,53,1684.15,False,True
2021-03-20,Saturday,3,True,False,,In Session,True,Sunny,33.8,False,64,77,113813,78,1459.14,False,True
2021-03-21,Sunday,3,True,False,,In Session,True,Sunny,33.9,False,67,58,105987,74,1432.26,False,True
2021-03-22,Monday,3,False,False,,In Session,True,Sunny,31.3,False,63,77,97298,68,1430.85,False,True
2021-03-23,Tuesday,3,False,False,,In Session,True,Sunny,32.4,False,68,85,108567,78,1391.88,False,True
2021-03-24,Wednesday,3,False,False,,In Session,True,Cloudy,31.9,False,80,99,106958,66,1620.58,False,True
2021-03-25,Thursday,3,False,False,,In Session,True,Rainy,32.1,False,56,75,91658,57,1608.04,False,True
2021-03-26,Friday,3,False,False,,In Session,True,Sunny,32.1,False,72,80,98567,61,1615.85,False,True
2021-03-27,Saturday,3,True,False,,In Session,True,Sunny,36.1,False,78,87,100394,71,1414.0,False,True
2021-03-28,Sunday,3,True,False,,In Session,True,Sunny,34.6,False,73,66,107709,64,1682.95,False,True
2021-03-29,Monday,3,False,False,,In Session,True,Rainy,29.7,False,58,60,82703,55,1503.69,False,True
2021-03-30,Tuesday,3,False,False,,In Session,True,Sunny,34.4,False,64,75,90180,53,1701.51,False,True
2021-03-31,Wednesday,3,False,False,,In Session,True,Sunny,31.7,False,71,79,109621,74,1481.36,False,True
2021-04-01,Thursday,4,False,False,,In Session,True,Rainy,33.9,False,60,70,76669,45,1703.76,False,True
2021-04-02,Friday,4,False,True,Good Friday,In Session,True,Cloudy,34.0,False,39,67,47730,27,1767.78,False,True
2021-04-03,Saturday,4,True,False,,In Session,True,Rainy,32.3,False,78,100,117032,72,1625.44,False,True
2021-04-04,Sunday,4,True,False,,In Session,True,Cloudy,32.3,False,90,93,147351,99,1488.39,False,False
2021-04-05,Monday,4,False,True,Easter Monday,In Session,True,Sunny,31.9,False,59,82,104586,80,1307.33,False,False
2021-04-06,Tuesday,4,False,False,,In Session,True,Rainy,34.3,False,40,64,83239,53,1570.55,False,False
2021-04-07,Wednesday,4,False,False,,In Session,True,Rainy,33.9,False,51,66,73172,48,1524.42,False,False
2021-04-08,Thursday,4,False,False,,In Session,True,Rainy,31.6,False,60,72,101751,59,1724.59,False,False
2021-04-09,Friday,4,False,False,,In Session,True,Rainy,30.5,False,58,80,82120,42,1955.24,False,False
2021-04-10,Saturday,4,True,False,,In Session,True,Rainy,32.1,False,64,76,97789,66,1481.65,False,False
2021-04-11,Sunday,4,True,False,,In Session,True,Rainy,35.9,True,67,63,131618,112,1175.16,False,False
2021-04-12,Monday,4,False,False,,In Session,True,Rainy,33.6,False,52,71,75414,52,1450.27,False,False
2021-04-13,Tuesday,4,False,False,,In Session,True,Cloudy,31.5,False,70,74,97668,58,1683.93,True,False
2021-04-14,Wednesday,4,False,False,,In Session,True,Rainy,30.3,False,57,69,68689,41,1675.34,True,False
2021-04-15,Thursday,4,False,False,,Exam Period,True,Rainy,33.2,False,41,48,64288,46,1397.57,True,False
2021-04-16,Friday,4,False,False,,Exam Period,True,Rainy,32.9,False,42,63,66898,43,1555.77,True,False
2021-04-17,Saturday,4,True,False,,Exam Period,True,Sunny,30.1,False,52,50,81761,60,1362.68,True,False
2021-04-18,Sunday,4,True,False,,Exam Period,True,Cloudy,34.6,False,65,62,80260,49,1637.96,True,False
2021-04-19,Monday,4,False,False,,Exam Period,True,Sunny,33.5,False,56,59,72925,45,1620.56,True,False
2021-04-20,Tuesday,4,False,False,,Exam Period,True,Cloudy,29.4,False,56,62,71897,45,1597.71,True,False
2021-04-21,Wednesday,4,False,False,,Exam Period,True,Rainy,29.6,False,60,66,71425,45,1587.22,True,False
2021-04-22,Thursday,4,False,False,,Exam Period,True,Cloudy,33.5,False,36,37,56368,36,1565.78,True,False
2021-04-23,Friday,4,False,False,,Exam Period,True,Rainy,31.5,False,46,62,56244,39,1442.15,True,False
2021-04-24,Saturday,4,True,False,,Exam Period,True,Cloudy,30.0,False,77,48,87733,55,1595.15,True,False
2021-04-25,Sunday,4,True,False,,Exam Period,True,Cloudy,32.9,True,83,41,98917,57,1735.39,True,False
2021-04-26,Monday,4,False,False,,Exam Period,True,Rainy,30.9,True,71,59,79280,43,1843.72,True,False
2021-04-27,Tuesday,4,False,False,,Exam Period,True,Rainy,32.7,False,57,66,59318,41,1446.78,True,False
2021-04-28,Wednesday,4,False,False,,Exam Period,True,Sunny,31.6,False,63,59,76825,56,1371.88,True,False
2021-04-29,Thursday,4,False,False,,Exam Period,True,Sunny,33.2,False,69,67,82953,53,1565.15,True,False
2021-04-30,Friday,4,False,False,,Exam Period,True,Rainy,29.5,False,53,65,67747,50,1354.94,True,False
2021-05-01,Saturday,5,True,True,Workers' Day,Semester Break,False,Sunny,30.7,False,39,27,40808,26,1569.54,True,False
2021-05-02,Sunday,5,True,False,,Semester Break,False,Rainy,30.0,False,40,31,36121,24,1505.04,True,False
2021-05-03,Monday,5,False,False,,Semester Break,False,Rainy,28.4,False,41,45,34123,19,1795.95,True,False
2021-05-04,Tuesday,5,False,False,,Semester Break,False,Rainy,30.3,False,42,33,34244,20,1712.2,True,False
2021-05-05,Wednesday,5,False,False,,Semester Break,False,Sunny,31.8,False,56,21,37604,25,1504.16,True,False
2021-05-06,Thursday,5,False,False,,Semester Break,False,Rainy,32.2,False,30,24,27501,19,1447.42,True,False
2021-05-07,Friday,5,False,False,,Semester Break,False,Rainy,27.1,False,34,15,29878,19,1572.53,True,False
2021-05-08,Saturday,5,True,False,,Semester Break,False,Cloudy,31.0,False,53,31,44089,23,1916.91,True,False
2021-05-09,Sunday,5,True,False,,Semester Break,False,Rainy,29.2,False,34,22,38336,22,1742.55,True,False
2021-05-10,Monday,5,False,False,,Semester Break,False,Cloudy,29.1,False,42,23,35862,27,1328.22,True,False
2021-05-11,Tuesday,5,False,False,,Semester Break,False,Cloudy,28.7,False,38,31,34527,22,1569.41,True,False
2021-05-12,Wednesday,5,False,False,,Semester Break,False,Cloudy,30.5,False,34,27,34723,24,1446.79,False,False
2021-05-13,Thursday,5,False,True,Eid al-Fitr,Semester Break,False,Cloudy,28.7,False,25,29,49499,32,1546.84,False,False
2021-05-14,Friday,5,False,False,,Semester Break,False,Rainy,31.8,False,39,24,38775,21,1846.43,False,False
2021-05-15,Saturday,5,True,False,,Semester Break,False,Rainy,30.4,False,50,33,46932,27,1738.22,False,False
2021-05-16,Sunday,5,True,False,,Semester Break,False,Cloudy,31.8,False,49,27,51840,36,1440.0,False,False
2021-05-17,Monday,5,False,False,,Semester Break,False,Rainy,30.6,False,38,34,38137,28,1362.04,False,False
2021-05-18,Tuesday,5,False,False,,Semester Break,False,Cloudy,31.1,False,41,26,41164,23,1789.74,False,False
2021-05-19,Wednesday,5,False,False,,Semester Break,False,Sunny,31.8,False,32,12,38089,22,1731.32,False,False
2021-05-20,Thursday,5,False,False,,Semester Break,False,Rainy,28.5,False,31,44,36252,22,1647.82,False,False
2021-05-21,Friday,5,False,False,,Semester Break,False,Cloudy,29.8,False,25,5,39098,29,1348.21,False,False
2021-05-22,Saturday,5,True,False,,Semester Break,False,Rainy,26.7,False,41,17,41274,28,1474.07,False,False
2021-05-23,Sunday,5,True,False,,Semester Break,False,Cloudy,29.7,False,55,16,42652,32,1332.88,False,False
2021-05-24,Monday,5,False,False,,Semester Break,False,Sunny,29.0,False,45,27,38373,22,1744.23,False,False
2021-05-25,Tuesday,5,False,False,,Semester Break,False,Sunny,30.8,False,46,29,44769,27,1658.11,False,False
2021-05-26,Wednesday,5,False,False,,Semester Break,False,Cloudy,30.7,False,47,32,42284,24,1761.83,False,False
2021-05-27,Thursday,5,False,False,,Semester Break,False,Rainy,30.6,False,29,20,30358,19,1597.79,False,False
2021-05-28,Friday,5,False,False,,Semester Break,False,Rainy,29.0,False,18,24,31501,26,1211.58,False,False
2021-05-29,Saturday,5,True,False,,Semester Break,False,Cloudy,31.5,False,36,16,42160,27,1561.48,False,False
2021-05-30,Sunday,5,True,False,,Semester Break,False,Cloudy,28.3,False,48,27,47824,38,1258.53,False,False
2021-05-31,Monday,5,False,False,,Semester Break,False,Rainy,29.6,False,26,28,33990,19,1788.95,False,False
2021-06-01,Tuesday,6,False,False,,In Session,True,Sunny,29.0,False,80,88,102478,70,1463.97,False,False
2021-06-02,Wednesday,6,False,False,,In Session,True,Cloudy,28.6,False,74,81,90216,51,1768.94,False,False
2021-06-03,Thursday,6,False,False,,In Session,True,Rainy,28.3,False,67,92,83112,56,1484.14,False,False
2021-06-04,Friday,6,False,False,,In Session,True,Sunny,26.5,False,64,69,104587,58,1803.22,False,False
2021-06-05,Saturday,6,True,False,,In Session,True,Rainy,28.7,False,66,75,97190,69,1408.55,False,False
2021-06-06,Sunday,6,True,False,,In Session,True,Rainy,29.6,False,61,73,101233,74,1368.01,False,False
2021-06-07,Monday,6,False,False,,In Session,True,Sunny,25.8,False,75,77,109339,74,1477.55,False,False
2021-06-08,Tuesday,6,False,False,,In Session,True,Rainy,25.6,False,64,69,89229,61,1462.77,False,False
2021-06-09,Wednesday,6,False,False,,In Session,True,Cloudy,28.6,False,56,69,83198,48,1733.29,False,False
2021-06-10,Thursday,6,False,False,,In Session,True,Rainy,27.8,False,70,85,74876,50,1497.52,False,False
2021-06-11,Friday,6,False,False,,In Session,True,Sunny,26.3,False,69,62,85916,54,1591.04,False,False
2021-06-12,Saturday,6,True,True,Democracy Day,In Session,True,Sunny,25.7,True,72,72,105389,62,1699.82,False,False
2021-06-13,Sunday,6,True,False,,In Session,True,Rainy,27.3,False,78,90,99687,66,1510.41,False,False
2021-06-14,Monday,6,False,False,,In Session,True,Rainy,29.3,False,66,87,88893,52,1709.48,False,False
2021-06-15,Tuesday,6,False,False,,In Session,True,Rainy,28.4,False,56,74,83209,53,1569.98,False,False
2021-06-16,Wednesday,6,False,False,,In Session,True,Rainy,27.8,False,52,64,62672,37,1693.84,False,False
2021-06-17,Thursday,6,False,False,,In Session,True,Rainy,28.5,False,66,95,95892,68,1410.18,False,False
2021-06-18,Friday,6,False,False,,In Session,True,Rainy,28.4,False,52,68,76915,46,1672.07,False,False
2021-06-19,Saturday,6,True,False,,In Session,True,Sunny,28.7,False,87,99,123695,72,1717.99,False,False
2021-06-20,Sunday,6,True,False,,In Session,True,Rainy,28.3,False,71,79,87238,48,1817.46,False,False
2021-06-21,Monday,6,False,False,,In Session,True,Rainy,26.3,False,59,74,81828,51,1604.47,False,False
2021-06-22,Tuesday,6,False,False,,In Session,True,Cloudy,28.8,False,74,78,84184,51,1650.67,False,False
2021-06-23,Wednesday,6,False,False,,In Session,True,Cloudy,29.1,False,64,73,86537,55,1573.4,False,False
2021-06-24,Thursday,6,False,False,,In Session,True,Rainy,26.1,False,42,58,57504,39,1474.46,False,False
2021-06-25,Friday,6,False,False,,In Session,True,Rainy,26.0,False,72,91,84503,45,1877.84,False,False
2021-06-26,Saturday,6,True,False,,In Session,True,Rainy,28.1,False,61,86,81390,48,1695.62,False,False
2021-06-27,Sunday,6,True,False,,In Session,True,Cloudy,31.7,False,80,80,114605,71,1614.15,False,False
2021-06-28,Monday,6,False,False,,In Session,True,Rainy,27.7,False,48,80,76447,54,1415.69,False,False
2021-06-29,Tuesday,6,False,False,,In Session,True,Sunny,26.3,False,61,84,85086,50,1701.72,False,False
2021-06-30,Wednesday,6,False,False,,In Session,True,Rainy,27.8,False,57,73,70351,48,1465.65,False,False
2021-07-01,Thursday,7,False,False,,In Session,True,Cloudy,26.5,False,67,74,86921,49,1773.9,False,False
2021-07-02,Friday,7,False,False,,In Session,True,Rainy,26.7,False,58,76,76686,53,1446.91,False,False
2021-07-03,Saturday,7,True,False,,In Session,True,Cloudy,25.0,False,61,62,84227,50,1684.54,False,False
2021-07-04,Sunday,7,True,False,,In Session,True,Sunny,28.7,True,75,66,137656,100,1376.56,False,False
2021-07-05,Monday,7,False,False,,In Session,True,Cloudy,26.5,False,62,73,83444,55,1517.16,False,False
2021-07-06,Tuesday,7,False,False,,In Session,True,Cloudy,23.7,False,64,77,102582,72,1424.75,False,False
2021-07-07,Wednesday,7,False,False,,In Session,True,Rainy,28.5,False,71,80,79770,52,1534.04,False,False
2021-07-08,Thursday,7,False,False,,In Session,True,Rainy,24.3,False,53,67,67968,43,1580.65,False,False
2021-07-09,Friday,7,False,False,,In Session,True,Sunny,23.7,False,60,55,87776,64,1371.5,False,False
2021-07-10,Saturday,7,True,False,,In Session,True,Sunny,27.0,False,80,94,110807,68,1629.51,False,False
2021-07-11,Sunday,7,True,False,,In Session,True,Rainy,26.1,False,56,76,84032,59,1424.27,False,False
2021-07-12,Monday,7,False,False,,In Session,True,Cloudy,28.0,False,50,62,73715,42,1755.12,False,False
2021-07-13,Tuesday,7,False,False,,In Session,True,Rainy,26.2,False,55,76,76140,50,1522.8,False,False
2021-07-14,Wednesday,7,False,False,,In Session,True,Cloudy,24.4,False,47,66,78572,57,1378.46,False,False
2021-07-15,Thursday,7,False,False,,In Session,True,Cloudy,22.8,False,69,74,86743,57,1521.81,False,False
2021-07-16,Friday,7,False,False,,In Session,True,Rainy,26.9,False,58,80,72745,45,1616.56,False,False
2021-07-17,Saturday,7,True,False,,In Session,True,Rainy,24.7,False,73,85,94265,56,1683.3,False,False
2021-07-18,Sunday,7,True,False,,In Session,True,Cloudy,25.0,False,67,80,95125,65,1463.46,False,False
2021-07-19,Monday,7,False,False,,In Session,True,Rainy,25.7,False,61,75,76853,47,1635.17,False,False
2021-07-20,Tuesday,7,False,True,Eid al-Adha,In Session,True,Rainy,21.7,False,38,77,94429,53,1781.68,False,False
2021-07-21,Wednesday,7,False,False,,In Session,True,Rainy,27.8,False,66,72,79283,53,1495.91,False,False
2021-07-22,Thursday,7,False,False,,In Session,True,Sunny,25.2,False,60,70,82049,55,1491.8,False,False
2021-07-23,Friday,7,False,False,,In Session,True,Rainy,26.3,False,67,79,86635,65,1332.85,False,False
2021-07-24,Saturday,7,True,False,,In Session,True,Rainy,24.4,False,54,72,81388,59,1379.46,False,False
2021-07-25,Sunday,7,True,False,,In Session,True,Sunny,23.3,False,54,69,87197,54,1614.76,False,False
2021-07-26,Monday,7,False,False,,In Session,True,Rainy,24.5,False,65,74,77504,50,1550.08,False,False
2021-07-27,Tuesday,7,False,False,,In Session,True,Rainy,24.6,False,68,73,70628,54,1307.93,False,False
2021-07-28,Wednesday,7,False,False,,In Session,True,Rainy,26.4,False,53,77,81067,55,1473.95,False,False
2021-07-29,Thursday,7,False,False,,In Session,True,Rainy,28.7,False,63,96,88283,55,1605.15,False,False
2021-07-30,Friday,7,False,False,,In Session,True,Cloudy,25.0,False,68,76,81662,44,1855.95,False,False
2021-07-31,Saturday,7,True,False,,In Session,True,Rainy,26.2,True,74,71,95497,68,1404.37,False,False
2021-08-01,Sunday,8,True,False,,In Session,True,Rainy,27.0,False,79,86,101026,59,1712.31,False,False
2021-08-02,Monday,8,False,False,,In Session,True,Cloudy,24.9,False,60,71,88879,54,1645.91,False,False
2021-08-03,Tuesday,8,False,False,,In Session,True,Cloudy,25.1,False,59,75,87024,56,1554.0,False,False
2021-08-04,Wednesday,8,False,False,,In Session,True,Cloudy,26.4,False,74,80,85657,60,1427.62,False,False
2021-08-05,Thursday,8,False,False,,In Session,True,Sunny,25.1,False,75,62,78519,52,1509.98,False,False
2021-08-06,Friday,8,False,False,,In Session,True,Sunny,25.6,False,67,83,87774,55,1595.89,False,False
2021-08-07,Saturday,8,True,False,,In Session,True,Cloudy,27.8,False,76,73,106627,67,1591.45,False,False
2021-08-08,Sunday,8,True,False,,In Session,True,Sunny,24.1,False,72,78,96081,59,1628.49,False,False
2021-08-09,Monday,8,False,False,,In Session,True,Rainy,26.7,False,62,82,94204,58,1624.21,False,False
2021-08-10,Tuesday,8,False,False,,In Session,True,Cloudy,23.4,False,75,87,89603,66,1357.62,False,False
2021-08-11,Wednesday,8,False,False,,In Session,True,Rainy,27.2,False,51,65,65184,44,1481.45,False,False
2021-08-12,Thursday,8,False,False,,In Session,True,Cloudy,26.9,False,61,63,86128,59,1459.8,False,False
2021-08-13,Friday,8,False,False,,In Session,True,Cloudy,23.8,False,63,63,76981,43,1790.26,False,False
2021-08-14,Saturday,8,True,False,,In Session,True,Sunny,25.4,False,55,60,76631,44,1741.61,False,False
2021-08-15,Sunday,8,True,False,,In Session,True,Cloudy,26.3,False,64,66,91523,51,1794.57,False,False
2021-08-16,Monday,8,False,False,,In Session,True,Cloudy,29.0,False,73,85,94798,64,1481.22,False,False
2021-08-17,Tuesday,8,False,False,,In Session,True,Rainy,27.7,False,54,68,80176,58,1382.34,False,False
2021-08-18,Wednesday,8,False,False,,In Session,True,Rainy,25.7,False,56,74,82786,50,1655.72,False,False
2021-08-19,Thursday,8,False,False,,In Session,True,Sunny,26.3,False,78,80,96898,64,1514.03,False,False
2021-08-20,Friday,8,False,False,,In Session,True,Sunny,24.6,False,87,93,96314,70,1375.91,False,False
2021-08-21,Saturday,8,True,False,,In Session,True,Rainy,25.2,False,71,82,89964,61,1474.82,False,False
2021-08-22,Sunday,8,True,False,,In Session,True,Sunny,23.6,False,74,80,92342,83,1112.55,False,False
2021-08-23,Monday,8,False,False,,In Session,True,Rainy,26.3,False,67,71,74213,51,1455.16,False,False
2021-08-24,Tuesday,8,False,False,,In Session,True,Cloudy,26.7,False,76,82,88871,58,1532.26,False,False
2021-08-25,Wednesday,8,False,False,,In Session,True,Rainy,26.5,False,62,72,70651,40,1766.28,False,False
2021-08-26,Thursday,8,False,False,,In Session,True,Rainy,25.6,False,51,50,70342,47,1496.64,False,False
2021-08-27,Friday,8,False,False,,In Session,True,Rainy,26.4,False,46,75,67506,40,1687.65,False,False
2021-08-28,Saturday,8,True,False,,In Session,True,Rainy,24.1,False,67,79,77100,45,1713.33,False,False
2021-08-29,Sunday,8,True,False,,In Session,True,Rainy,25.4,False,63,69,91857,66,1391.77,False,False
2021-08-30,Monday,8,False,False,,In Session,True,Sunny,26.1,False,65,76,80486,51,1578.16,False,False
2021-08-31,Tuesday,8,False,False,,In Session,True,Rainy,24.1,False,60,74,80723,68,1187.1,False,False
2021-09-01,Wednesday,9,False,False,,In Session,True,Cloudy,25.5,False,59,75,82782,47,1761.32,False,False
2021-09-02,Thursday,9,False,False,,In Session,True,Rainy,26.1,False,57,81,72703,46,1580.5,False,False
2021-09-03,Friday,9,False,False,,In Session,True,Rainy,29.4,False,45,72,77108,50,1542.16,False,False
2021-09-04,Saturday,9,True,False,,In Session,True,Rainy,25.5,False,62,74,96378,61,1579.97,False,False
2021-09-05,Sunday,9,True,False,,In Session,True,Rainy,24.8,False,82,93,98897,57,1735.04,False,False
2021-09-06,Monday,9,False,False,,In Session,True,Sunny,25.2,False,63,76,95850,64,1497.66,False,False
2021-09-07,Tuesday,9,False,False,,In Session,True,Rainy,26.4,False,55,65,86183,62,1390.05,False,False
2021-09-08,Wednesday,9,False,False,,In Session,True,Rainy,27.3,False,57,77,80516,58,1388.21,False,False
